@RELATION VENTAS

@ATTRIBUTE idVenta			NUMERIC
@ATTRIBUTE idTiempo			NUMERIC
@ATTRIBUTE cveProducto		NUMERIC
@ATTRIBUTE cveCategoria		NUMERIC
@ATTRIBUTE cveCliente		NUMERIC
@ATTRIBUTE totalProductos	NUMERIC
@ATTRIBUTE subTotal			NUMERIC
@ATTRIBUTE descuento		NUMERIC

@DATA
10248,19960704,72,4,90,5,174.00,0.00
10248,19960704,42,5,90,10,98.00,0.00
10248,19960704,11,4,90,12,168.00,0.00
10249,19960705,51,7,79,40,1696.00,0.00
10249,19960705,14,7,79,9,167.40,0.00
10250,19960708,51,7,34,35,1484.00,0.15
10250,19960708,41,8,34,10,77.00,0.00
10250,19960708,65,2,34,15,252.00,0.15
10251,19960708,22,5,84,6,100.80,0.05
10251,19960708,65,2,84,20,336.00,0.00
10251,19960708,57,5,84,15,234.00,0.05
10252,19960709,33,4,76,25,50.00,0.05
10252,19960709,60,4,76,40,1088.00,0.00
10252,19960709,20,3,76,40,2592.00,0.05
10253,19960710,39,1,34,42,604.80,0.00
10253,19960710,31,4,34,20,200.00,0.00
10253,19960710,49,3,34,40,640.00,0.00
10254,19960711,74,7,14,21,168.00,0.00
10254,19960711,55,6,14,21,403.20,0.15
10254,19960711,24,1,14,15,54.00,0.15
10255,19960712,2,1,68,20,304.00,0.00
10255,19960712,59,4,68,30,1320.00,0.00
10255,19960712,16,3,68,35,486.50,0.00
10255,19960712,36,8,68,25,380.00,0.00
10256,19960715,53,6,88,15,393.00,0.00
10256,19960715,77,2,88,12,124.80,0.00
10257,19960716,27,3,35,25,877.50,0.00
10257,19960716,39,1,35,6,86.40,0.00
10257,19960716,77,2,35,15,156.00,0.00
10258,19960717,5,2,20,65,1105.00,0.20
10258,19960717,2,1,20,50,760.00,0.20
10258,19960717,32,4,20,6,153.60,0.20
10259,19960718,21,3,13,10,80.00,0.00
10259,19960718,37,8,13,1,20.80,0.00
10260,19960719,70,1,56,21,252.00,0.25
10260,19960719,57,5,56,50,780.00,0.00
10260,19960719,62,3,56,15,591.00,0.25
10260,19960719,41,8,56,16,123.20,0.25
10261,19960719,35,1,61,20,288.00,0.00
10261,19960719,21,3,61,20,160.00,0.00
10262,19960722,5,2,65,12,204.00,0.20
10262,19960722,7,7,65,15,360.00,0.00
10262,19960722,56,5,65,2,60.80,0.00
10263,19960723,16,3,20,60,834.00,0.25
10263,19960723,30,8,20,60,1242.00,0.25
10263,19960723,24,1,20,28,100.80,0.00
10263,19960723,74,7,20,36,288.00,0.25
10264,19960724,2,1,24,35,532.00,0.00
10264,19960724,41,8,24,25,192.50,0.15
10265,19960725,17,6,7,30,936.00,0.00
10265,19960725,70,1,7,20,240.00,0.00
10266,19960726,12,4,87,12,364.80,0.05
10267,19960729,76,1,25,15,216.00,0.15
10267,19960729,40,8,25,50,735.00,0.00
10267,19960729,59,4,25,70,3080.00,0.15
10268,19960730,72,4,33,4,111.20,0.00
10268,19960730,29,6,33,10,990.00,0.00
10269,19960731,72,4,89,20,556.00,0.05
10269,19960731,33,4,89,60,120.00,0.05
10270,19960801,36,8,87,30,456.00,0.00
10270,19960801,43,1,87,25,920.00,0.00
10271,19960801,33,4,75,24,48.00,0.00
10272,19960802,31,4,65,40,400.00,0.00
10272,19960802,20,3,65,6,388.80,0.00
10272,19960802,72,4,65,24,667.20,0.00
10273,19960805,40,8,63,60,882.00,0.05
10273,19960805,33,4,63,20,40.00,0.00
10273,19960805,31,4,63,15,150.00,0.05
10273,19960805,10,8,63,24,595.20,0.05
10273,19960805,76,1,63,33,475.20,0.05
10274,19960806,71,4,85,20,344.00,0.00
10274,19960806,72,4,85,7,194.60,0.00
10275,19960807,24,1,49,12,43.20,0.05
10275,19960807,59,4,49,6,264.00,0.05
10276,19960808,10,8,80,15,372.00,0.00
10276,19960808,13,8,80,10,48.00,0.00
10277,19960809,28,7,52,20,728.00,0.00
10277,19960809,62,3,52,12,472.80,0.00
10278,19960812,59,4,5,15,660.00,0.00
10278,19960812,73,8,5,25,300.00,0.00
10278,19960812,44,2,5,16,248.00,0.00
10278,19960812,63,2,5,8,280.80,0.00
10279,19960813,17,6,44,15,468.00,0.25
10280,19960814,55,6,5,20,384.00,0.00
10280,19960814,75,1,5,30,186.00,0.00
10280,19960814,24,1,5,12,43.20,0.00
10281,19960814,24,1,69,6,21.60,0.00
10281,19960814,35,1,69,4,57.60,0.00
10281,19960814,19,3,69,1,7.30,0.00
10282,19960815,57,5,69,2,31.20,0.00
10282,19960815,30,8,69,6,124.20,0.00
10283,19960816,19,3,46,18,131.40,0.00
10283,19960816,60,4,46,35,952.00,0.00
10283,19960816,15,2,46,20,248.00,0.00
10283,19960816,72,4,46,3,83.40,0.00
10284,19960819,67,1,44,5,56.00,0.25
10284,19960819,44,2,44,21,325.50,0.00
10284,19960819,60,4,44,20,544.00,0.25
10284,19960819,27,3,44,15,526.50,0.25
10285,19960820,1,1,63,45,648.00,0.20
10285,19960820,40,8,63,40,588.00,0.20
10285,19960820,53,6,63,36,943.20,0.20
10286,19960821,62,3,63,40,1576.00,0.00
10286,19960821,35,1,63,100,1440.00,0.00
10287,19960822,46,8,67,15,144.00,0.15
10287,19960822,16,3,67,40,556.00,0.15
10287,19960822,34,1,67,20,224.00,0.00
10288,19960823,68,3,66,3,30.00,0.10
10288,19960823,54,6,66,10,59.00,0.10
10289,19960826,3,2,11,30,240.00,0.00
10289,19960826,64,5,11,9,239.40,0.00
10290,19960827,77,2,15,10,104.00,0.00
10290,19960827,29,6,15,15,1485.00,0.00
10290,19960827,49,3,15,15,240.00,0.00
10290,19960827,5,2,15,20,340.00,0.00
10291,19960827,44,2,61,24,372.00,0.10
10291,19960827,13,8,61,20,96.00,0.10
10291,19960827,51,7,61,2,84.80,0.10
10292,19960828,20,3,81,20,1296.00,0.00
10293,19960829,18,8,80,12,600.00,0.00
10293,19960829,75,1,80,6,37.20,0.00
10293,19960829,24,1,80,10,36.00,0.00
10293,19960829,63,2,80,5,175.50,0.00
10294,19960830,60,4,65,21,571.20,0.00
10294,19960830,75,1,65,6,37.20,0.00
10294,19960830,1,1,65,18,259.20,0.00
10294,19960830,43,1,65,15,552.00,0.00
10294,19960830,17,6,65,15,468.00,0.00
10295,19960902,56,5,85,4,121.60,0.00
10296,19960903,69,4,46,15,432.00,0.00
10296,19960903,11,4,46,12,201.60,0.00
10296,19960903,16,3,46,30,417.00,0.00
10297,19960904,72,4,7,20,556.00,0.00
10297,19960904,39,1,7,60,864.00,0.00
10298,19960905,2,1,37,40,608.00,0.00
10298,19960905,36,8,37,40,608.00,0.25
10298,19960905,62,3,37,15,591.00,0.00
10298,19960905,59,4,37,30,1320.00,0.25
10299,19960906,70,1,67,20,240.00,0.00
10299,19960906,19,3,67,15,109.50,0.00
10300,19960909,68,3,49,20,200.00,0.00
10300,19960909,66,2,49,30,408.00,0.00
10301,19960909,56,5,86,20,608.00,0.00
10301,19960909,40,8,86,10,147.00,0.00
10302,19960910,43,1,76,12,441.60,0.00
10302,19960910,28,7,76,28,1019.20,0.00
10302,19960910,17,6,76,40,1248.00,0.00
10303,19960911,65,2,30,30,504.00,0.10
10303,19960911,40,8,30,40,588.00,0.10
10303,19960911,68,3,30,15,150.00,0.10
10304,19960912,49,3,80,30,480.00,0.00
10304,19960912,59,4,80,10,440.00,0.00
10304,19960912,71,4,80,2,34.40,0.00
10305,19960913,39,1,55,30,432.00,0.10
10305,19960913,29,6,55,25,2475.00,0.10
10305,19960913,18,8,55,25,1250.00,0.10
10306,19960916,30,8,69,10,207.00,0.00
10306,19960916,53,6,69,10,262.00,0.00
10306,19960916,54,6,69,5,29.50,0.00
10307,19960917,62,3,48,10,394.00,0.00
10307,19960917,68,3,48,3,30.00,0.00
10308,19960918,70,1,2,5,60.00,0.00
10308,19960918,69,4,2,1,28.80,0.00
10309,19960919,42,5,37,2,22.40,0.00
10309,19960919,43,1,37,20,736.00,0.00
10309,19960919,6,2,37,30,600.00,0.00
10309,19960919,4,2,37,20,352.00,0.00
10309,19960919,71,4,37,3,51.60,0.00
10310,19960920,16,3,77,10,139.00,0.00
10310,19960920,62,3,77,5,197.00,0.00
10311,19960920,69,4,18,7,201.60,0.00
10311,19960920,42,5,18,6,67.20,0.00
10312,19960923,75,1,86,10,62.00,0.00
10312,19960923,28,7,86,4,145.60,0.00
10312,19960923,43,1,86,24,883.20,0.00
10312,19960923,53,6,86,20,524.00,0.00
10313,19960924,36,8,63,12,182.40,0.00
10314,19960925,62,3,65,25,985.00,0.10
10314,19960925,58,8,65,30,318.00,0.10
10314,19960925,32,4,65,40,1024.00,0.10
10315,19960926,70,1,38,30,360.00,0.00
10315,19960926,34,1,38,14,156.80,0.00
10316,19960927,62,3,65,70,2758.00,0.00
10316,19960927,41,8,65,10,77.00,0.00
10317,19960930,1,1,48,20,288.00,0.00
10318,19961001,41,8,38,20,154.00,0.00
10318,19961001,76,1,38,6,86.40,0.00
10319,19961002,17,6,80,8,249.60,0.00
10319,19961002,28,7,80,14,509.60,0.00
10319,19961002,76,1,80,30,432.00,0.00
10320,19961003,71,4,87,30,516.00,0.00
10321,19961003,35,1,38,10,144.00,0.00
10322,19961004,52,5,58,20,112.00,0.00
10323,19961007,25,3,39,4,44.80,0.00
10323,19961007,15,2,39,5,62.00,0.00
10323,19961007,39,1,39,4,57.60,0.00
10324,19961008,46,8,71,30,288.00,0.00
10324,19961008,63,2,71,80,2808.00,0.15
10324,19961008,59,4,71,40,1760.00,0.15
10324,19961008,16,3,71,21,291.90,0.15
10324,19961008,35,1,71,70,1008.00,0.15
10325,19961009,14,7,39,9,167.40,0.00
10325,19961009,6,2,39,6,120.00,0.00
10325,19961009,72,4,39,40,1112.00,0.00
10325,19961009,31,4,39,4,40.00,0.00
10325,19961009,13,8,39,12,57.60,0.00
10326,19961010,57,5,8,16,249.60,0.00
10326,19961010,4,2,8,24,422.40,0.00
10326,19961010,75,1,8,50,310.00,0.00
10327,19961011,11,4,24,50,840.00,0.20
10327,19961011,2,1,24,25,380.00,0.20
10327,19961011,30,8,24,35,724.50,0.20
10327,19961011,58,8,24,30,318.00,0.20
10328,19961014,59,4,28,9,396.00,0.00
10328,19961014,65,2,28,40,672.00,0.00
10328,19961014,68,3,28,10,100.00,0.00
10329,19961015,56,5,75,12,364.80,0.05
10329,19961015,38,1,75,20,4216.00,0.05
10329,19961015,30,8,75,8,165.60,0.05
10329,19961015,19,3,75,10,73.00,0.05
10330,19961016,26,3,46,50,1245.00,0.15
10330,19961016,72,4,46,25,695.00,0.15
10331,19961016,54,6,9,15,88.50,0.00
10332,19961017,47,3,51,16,121.60,0.20
10332,19961017,42,5,51,10,112.00,0.20
10332,19961017,18,8,51,40,2000.00,0.20
10333,19961018,71,4,87,40,688.00,0.10
10333,19961018,14,7,87,10,186.00,0.00
10333,19961018,21,3,87,10,80.00,0.10
10334,19961021,52,5,84,8,44.80,0.00
10334,19961021,68,3,84,10,100.00,0.00
10335,19961022,32,4,37,6,153.60,0.20
10335,19961022,31,4,37,25,250.00,0.20
10335,19961022,2,1,37,7,106.40,0.20
